area,major_axis_length,minor_axis_length,eccentricity,equiv_diameter,solidity,extent,perimeter,aspect_ratio,compactness,roundness,category
1095,67.80627289,21.03635698,0.9506576,37.33895153,0.954664342,0.579365079,145.315,3.223289705,0.550671051,0.651633031,Whole Rice
1153,67.37167577,22.34162293,0.943413945,38.31507791,0.948190789,0.600520833,146.398,3.015522909,0.568711962,0.676034538,Whole Rice
1354,71.50614566,24.39640492,0.939998297,41.52067369,0.965763195,0.612392583,155.909,2.931011593,0.580658813,0.699980846,Whole Rice
1283,72.1242963,23.03522626,0.947625941,40.4174014,0.961769115,0.683901919,155.884,3.131043536,0.560385383,0.663488558,Whole Rice
1141,67.11136289,22.08983765,0.94427696,38.11517179,0.962057336,0.469547325,144.234,3.038110282,0.567939171,0.689223716,Whole Rice
1146,70.92539844,20.97501702,0.955270481,38.19859315,0.957393484,0.559570313,149.45,3.381422688,0.538574248,0.644766764,Whole Rice
1105,72.69994032,19.87629875,0.961899903,37.50906153,0.93962585,0.601851852,153.097,3.657619621,0.515943498,0.592432371,Whole Rice
1168,71.35062438,21.19452347,0.954862709,38.56350332,0.961316872,0.632034632,151.79,3.366465138,0.540478849,0.637039534,Whole Rice
1223,73.03777803,21.66866164,0.954977744,39.46101827,0.962992126,0.450626382,153.877,3.370664015,0.540282294,0.649066059,Whole Rice
1104,68.10085913,21.00522222,0.95124288,37.49208526,0.961672474,0.75,144.785,3.24209182,0.550537625,0.661807671,Whole Rice
1132,67.46297365,21.83935035,0.946151728,37.96455142,0.960135708,0.472848789,145.623,3.089055882,0.562746487,0.670805081,Whole Rice
1090,68.05098479,20.73746398,0.952437427,37.25360525,0.952797203,0.567117586,145.315,3.281548065,0.547436681,0.648657538,Whole Rice
1153,67.48329816,22.1400673,0.944649187,38.31507791,0.955260978,0.750651042,145.761,3.048016849,0.56777127,0.681956217,Whole Rice
1112,67.22050114,21.40459969,0.947948499,37.62768095,0.952870608,0.618464961,145.356,3.140469905,0.559764957,0.661376447,Whole Rice
1088,67.71807708,20.79004596,0.951706674,37.21941193,0.968833482,0.470995671,143.82,3.257235564,0.549622989,0.660998069,Whole Rice
1109,68.58232843,20.92795776,0.952304017,37.57688991,0.958513397,0.597521552,147.258,3.277067414,0.547909218,0.64266347,Whole Rice
1195,67.98234625,22.89785063,0.941568863,39.0066822,0.960610932,0.4875561,147.029,2.96894007,0.57377664,0.694659153,Whole Rice
1169,67.08404441,22.7049126,0.940982673,38.58000814,0.958196721,0.508039983,146.457,2.954604829,0.575099615,0.684863636,Whole Rice
1184,70.77608268,21.73130612,0.951695618,38.82673848,0.961038961,0.854256854,151.6,3.256872011,0.548585582,0.647385792,Whole Rice
1186,71.77876649,21.4546164,0.954284687,38.8595175,0.964227642,0.431272727,151.356,3.345609408,0.541379009,0.650571853,Whole Rice
1107,68.2774065,20.96181267,0.951706449,37.54299104,0.961772372,0.720703125,147.117,3.25722816,0.549859653,0.642734725,Whole Rice
1186,70.52533289,21.81323712,0.950965661,38.8595175,0.962662338,0.608205128,151.377,3.233143824,0.551000838,0.650391362,Whole Rice
1140,68.03208098,21.60703851,0.948224539,38.0984656,0.963651733,0.701538462,146.15,3.148607383,0.560007353,0.670682657,Whole Rice
1186,70.86147339,21.83843524,0.951326482,38.8595175,0.951845907,0.708059701,151.542,3.244805436,0.548387094,0.648975832,Whole Rice
1172,68.20615556,22.29344802,0.945074879,38.62948028,0.971807629,0.467304625,147.584,3.059470903,0.566363548,0.676174707,Whole Rice
1167,68.30980309,22.13878723,0.946024934,38.54699144,0.967661692,0.450231481,146.493,3.085525977,0.564296626,0.683355941,Whole Rice
1138,68.37993665,21.45336451,0.94950969,38.06503122,0.966864911,0.613146552,146.506,3.187375884,0.556669589,0.666256262,Whole Rice
1149,67.39691882,22.10890367,0.944663739,38.24855863,0.960702341,0.597814776,145.125,3.048406191,0.567511977,0.685559932,Whole Rice
1189,68.19329533,22.69220176,0.94301051,38.90863424,0.953488372,0.608806964,148.102,3.005142297,0.570563925,0.681192522,Whole Rice
1126,68.51764326,21.23782784,0.950749126,37.86380498,0.955857385,0.618681319,148.764,3.22620768,0.552613943,0.639370449,Whole Rice
1184,73.09507361,21.10710727,0.957400799,38.82673848,0.972085386,0.857971014,152.104,3.463055011,0.531181331,0.643102645,Whole Rice
1132,68.08034161,21.36838128,0.949465946,37.96455142,0.956889265,0.779614325,146.191,3.186031769,0.557643374,0.665602611,Whole Rice
1165,67.32340468,22.39479177,0.943052133,38.51394643,0.967607973,0.647942158,146.274,3.006208112,0.572073659,0.684229058,Whole Rice
1128,67.09612244,21.84530189,0.945513746,37.89741688,0.962457338,0.468438538,146.086,3.071421159,0.564822757,0.66420443,Whole Rice
1164,70.58545465,21.41422301,0.952869618,38.49741329,0.96039604,0.499356499,150.84,3.296194992,0.545401506,0.642879825,Whole Rice
1193,68.83485913,22.426306,0.945439169,38.97402695,0.958232932,0.573833574,149.723,3.069380179,0.566196073,0.668764585,Whole Rice
1110,67.23648446,21.44681423,0.947762846,37.59382788,0.966898955,0.463078849,143.813,3.135033658,0.559128399,0.674429488,Whole Rice
1141,71.40390291,20.63230732,0.957343557,38.11517179,0.974380871,0.43219697,149.462,3.460781279,0.533796757,0.641850568,Whole Rice
1160,71.08081283,21.11119039,0.954876652,38.43120961,0.962655602,0.533088235,150.236,3.366973227,0.540669248,0.6458324,Whole Rice
1101,70.21481643,20.40889812,0.956825279,37.44111028,0.961572052,0.521306818,149.095,3.440402123,0.533236604,0.622402064,Whole Rice
1191,70.58633058,22.20211858,0.949244716,38.94134432,0.950518755,0.721818182,150.98,3.179261038,0.551683931,0.656572643,Whole Rice
1180,69.74699591,21.87610314,0.949538865,38.76109729,0.961695192,0.605128205,149.69,3.188273317,0.555738592,0.66176881,Whole Rice
1226,69.2072667,22.78612847,0.94424462,39.50938726,0.96916996,0.486507937,150.279,3.037254302,0.570884954,0.682187475,Whole Rice
1141,68.12320341,21.65188662,0.948146294,38.11517179,0.961246841,0.452777778,147.03,3.146294113,0.559503515,0.663259675,Whole Rice
1142,71.66514445,20.77790826,0.957047715,38.13187066,0.954849498,0.799719888,153.072,3.44910294,0.532083915,0.612469483,Whole Rice
1247,71.89174275,22.57736974,0.949407513,39.84632621,0.968919969,0.845997286,152.104,3.184239067,0.554254559,0.677321789,Whole Rice
1098,67.56988889,21.09411448,0.950022259,37.39006579,0.964003512,0.451851852,145.516,3.203257902,0.553353963,0.651614452,Whole Rice
1190,73.63455492,21.14792831,0.957870296,38.92499272,0.95659164,0.415793152,155.64,3.481880297,0.528623997,0.617325734,Whole Rice
1090,71.91066588,19.65612628,0.961917227,37.25360525,0.971479501,0.42248062,151.172,3.658435281,0.51805396,0.599368127,Whole Rice
1148,71.2238274,21.02241782,0.95544787,38.23191072,0.951907131,0.484797297,151.237,3.387994094,0.536785401,0.630718608,Whole Rice
